,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Style
20,Contraste Tinto 2015,Portugal,Douro,Conceito,3.4,100,9.9,2015,red
21,Steiner 2013,Hungary,Sopron,Weninger,3.7,100,24.5,2013,red
22,Old Vines Primitivo 2015,Italy,Puglia,Azienda Agricola Morella,4.2,100,38.7,2015,red
23,Virtus Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,2.9,100,6.77,2013,red
24,Kallista 2015,South Africa,Stellenbosch,Vriesenhof,4.3,100,26.25,2015,red
25,Badia a Passignano Gran Selezione Chianti Classico 2016,Italy,Chianti Classico,Antinori,4.2,1000,39.9,2016,red
26,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,France,Saint-Émilion Grand Cru,Château Figeac,4.4,1000,174.49,2012,red
27,Carlo V Il Rosso dell'Imperatore 2013,Italy,Veneto,Colli Vicentini,3.7,1000,15.9,2013,red
28,Pinot Noir 2016,United States,Monterey,District 7,3.6,1001,15.98,2016,red
29,Marquis de Calon Saint-Estèphe 2015,France,Saint-Estèphe,Château Calon-Ségur,3.9,1001,43.28,2015,red
30,Hécula Monastrell 2017,Spain,Yecla,Castaño,3.3,1004,8.83,2017,red
31,Berola 2015,Spain,Campo de Borja,Borsao,3.9,1006,14.52,2015,red
32,Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Poyferré,4.4,1008,189.0,2010,red
33,Pinot Noir Bourgogne 2017,France,Bourgogne,Faiveley,3.7,1009,15.9,2017,red
34,Vigna del Noce Barbera d'Asti 2007,Italy,Barbera d'Asti,Trinchero,4.1,101,76.9,2007,red
35,I Tratturi Rosso 2017,Italy,Salento,San Marzano,3.8,101,7.04,2017,red
36,Château Pilet Bordeaux 2017,France,Bordeaux,J.Queyrens & Fils,3.6,101,6.5,2017,red
37,Sancerre Rouge 2015,France,Sancerre,Comte Lafond,4.2,101,37.34,2015,red
38,Shiraz 2016,Australia,McLaren Vale,Food Truck,3.5,101,8.67,2016,red
39,Ro-Rée Saint-Joseph 2018,France,Saint-Joseph,Louis Chèze,4.2,101,24.37,2018,red
40,Cabernet Sauvignon 2015,South Africa,Stellenbosch,Big Flower,4.0,101,16.5,2015,red
41,Cuvée Alienor Fronsac 2015,France,Fronsac,Château Mayne-Vieil,3.7,101,16.47,2015,red
42,Sabbie di Sopra al Bosco 2014,Italy,Terre del Volturno,Nanni Copé,3.8,101,31.96,2014,red
43,Roma Rosso 2018,Italy,Lazio,Poggio le Volpi,4.0,101,9.95,2018,red
44,Garnacha de Arrayán 2014,Spain,Castilla y León,Arrayán,3.7,101,21.9,2014,red
45,Cabernet Sauvignon 2018,Chile,Central Valley,Valdivieso,3.3,101,7.6,2018,red
46,Terrenus Vinhas Velhas Reserva 2013,Portugal,Alentejano,Rui Reguinga,4.1,101,27.95,2013,red
47,Fronsac 2005,France,Fronsac,Château Villars,3.8,101,25.95,2005,red
48,Cuvée Charles de Batz Madiran 2014,France,Madiran,Domaine Berthoumieu,3.7,101,14.09,2014,red
49,Stony Terrace Cabernet Sauvignon 2016,United States,Napa Valley,Rutherford Wine Company,3.8,101,18.03,2016,red
50,12 e Mezzo Puglia Primitivo Organic Wine 2016,Italy,Puglia,Varvaglione,3.9,101,9.4,2016,red
51,El Abuelo Selección Edición Limitada 2013,Spain,Almansa,Bodegas Piqueras,4.2,101,10.95,2013,red
52,Sangre de Toro Special Selection 2017,Spain,Catalunya,Torres,3.6,101,8.9,2017,red
53,Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,France,Languedoc,Paul Mas,3.8,101,11.05,2018,red
54,Merlot 2018,France,Pays d'Oc,Les Jamelles,3.6,101,5.36,2018,red
55,Roscaleto Barbera d'Alba 2015,Italy,Barbera d'Alba,Enzo Boglietti,3.9,101,31.18,2015,red
56,Barolo Cannubi 2014,Italy,Barolo,Giacomo Fenocchio,4.0,101,39.9,2014,red
57,Pauillac (Premier Grand Cru Classé) 2017,France,Pauillac,Château Mouton Rothschild,4.6,101,633.62,2017,red
58,Cabernet Sauvignon 2014,United States,Washington,Stimson Estate Cellars,3.3,101,8.29,2014,red
59,Côte-Rôtie Le Gallet Blanc 2017,France,Côte-Rôtie,Francois Villard,4.4,101,48.0,2017,red
60,Capatosta 2015,Italy,Toscana,Poggio Argentiera,3.8,101,19.9,2015,red
61,Constance Madiran 2015,France,Madiran,Domaine Berthoumieu,3.8,101,9.5,2015,red
62,Oak Cask Malbec 2019,Argentina,Mendoza,Trapiche,3.7,1010,7.36,2019,red
63,Amancaya Malbec - Cabernet Sauvignon 2017,Argentina,Mendoza,Caro (Catena and Rothschild),4.0,1010,16.8,2017,red
64,Laccento Ruché di Castagnole Monferrato 2017,Italy,Ruchè,Montalbera,4.0,1012,19.9,2017,red
65,San Leonardo 2011,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,1012,48.64,2011,red
66,Fausto Tannat 2015,Brazil,Serra Gaúcha,Pizzato,3.6,1012,11.35,2015,red
67,Pauillac (Grand Cru Classé) 2007,France,Pauillac,Château Pichon Baron,4.4,1014,119.0,2007,red
68,Disciples 2016,United States,Napa Valley,The Crane Assembly,4.3,1014,53.61,2016,red
69,Zinfandel 2015,United States,Mendocino County,Bonterra,3.6,1015,16.75,2015,red
70,Margaux 2010,France,Margaux,Château Labégorce,4.0,1016,40.95,2010,red
71,La Luna e i Falò Barbera d'Asti Superiore 2015,Italy,Barbera d'Asti,Vite Colte,3.8,1016,11.49,2015,red
72,Ribera del Duero 2015,Spain,Ribera del Duero,Garmón,4.2,1017,38.8,2015,red
73,Les Jardins Rouge 2018,France,Faugères,Saint Antonin,3.8,102,7.95,2018,red
74,Nero d'Avola - Syrah 2018,Italy,Terre Siciliane,Roccaperciata,3.7,102,4.75,2018,red
75,La Bienquerida 2013,Spain,Bierzo,Losada,4.1,102,35.97,2013,red
76,Bonera 2018,Italy,Terre Siciliane,Mandrarossa,3.7,102,9.5,2018,red
77,Noi 4 Bolgheri 2016,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,102,23.5,2016,red
78,Pinot Noir 2016,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,27.78,2016,red
79,Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,39.95,2005,red
80,Gran Selección Tempranillo 2017,Spain,Castilla,Viña San Juan,3.4,102,6.75,2017,red
81,Syrah 2017,South Africa,Paarl,Glen Carlou,3.9,102,18.25,2017,red
82,Zweigelt 2017,Austria,Burgenland,Judith Beck,3.9,102,10.6,2017,red
83,Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23.09,2015,red
84,Listán Negro 2017,Spain,Lanzarote,Bermejo,3.6,102,17.95,2017,red
85,Viile Metamorfosis Merlot 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.5,102,7.5,2015,red
86,Merlot - Cabernet Sauvignon - Petit Verdot 2014,South Africa,Walker Bay,Creation,3.9,102,12.48,2014,red
87,RWT Shiraz 2017,Australia,Barossa Valley,Penfolds,4.4,102,229.0,2017,red
88,Fronton 2018,France,Fronton,Château Bellevue La Forét,3.5,102,6.95,2018,red
89,Costers Del Gravet Montsant 2013,Spain,Montsant,Capçanes,3.7,102,13.95,2013,red
90,Merlot 2018,Italy,Terre Siciliane,Cusumano,3.4,102,7.9,2018,red
91,Pinot Noir 2015,Austria,Burgenland,Paul Achs,3.7,102,33.05,2015,red
92,Coume de l'Olla Rouge 2019,France,Vin de France,Matassa,4.1,102,16.96,2019,red
93,Schwarzer 2017,Germany,Pfalz,Weingut Metzger,3.6,102,13.15,2017,red
94,Haut-Médoc 2015,France,Haut-Médoc,Château Beaumont,3.8,1020,17.36,2015,red
95,Bourgogne Pinot Noir (La Vignée) 2015,France,Bourgogne,Bouchard Père & Fils,3.6,1020,17.59,2015,red
96,Pinot Noir 2017,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,1022,49.09,2017,red
97,Zinfandel 2016,United States,California,Geyser Peak,3.7,1023,10.9,2016,red
98,Valpolicella Ripasso Classico Superiore 2017,Italy,Valpolicella Ripasso Classico,Bolla,3.7,1024,15.5,2017,red
99,Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,1025,26.5,2015,red
100,Ripanço Private Selection Alentejano 2016,Portugal,Alentejano,José Maria da Fonseca,3.7,1026,8.6,2016,red
101,Riserva Cannonau di Sardegna 2017,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,1027,10.66,2017,red
102,60 Sessantanni Old Vines Primitivo di Manduria 2016,Italy,Primitivo di Manduria,San Marzano,4.4,1028,17.24,2016,red
103,Kith & Kin Cabernet Sauvignon 2017,United States,Napa Valley,Round Pond Estate,4.2,1028,38.5,2017,red
104,Zinfandel 2017,United States,California,Rombauer Vineyards,4.3,1029,34.12,2017,red
105,Cerro Añon Rioja Gran Reserva 2011,Spain,Rioja,Bodegas Olarra,4.1,103,14.65,2011,red
106,Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Australia,McLaren Vale,Geoff Merrill,4.0,103,14.57,2013,red
107,Plaer Vinyes Velles 2016,Spain,Priorat,Acustic Celler,4.1,103,26.18,2016,red
108,Cabernet - Shiraz 2016,Spain,La Mancha,Añoranza,3.4,103,3.95,2016,red
109,Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château La Confession,3.9,103,26.9,2014,red
110,Comte de Sénéjac Haut-Médoc 2011,France,Haut-Médoc,Château Sénéjac,3.7,103,16.83,2011,red
111,Gran Masetto Teroldego 2014,Italy,Trentino,Endrizzi,4.4,103,39.9,2014,red
112,Barolo Mariondino 2015,Italy,Barolo,Parusso,4.1,103,39.9,2015,red
113,Crianza 2016,Spain,Rioja,Berceo,3.6,103,9.9,2016,red
114,Apogee Pepper Bridge Vineyard 2013,United States,Walla Walla Valley,L'Ecole No 41,4.1,103,46.9,2013,red
115,Gamma Red Blend 2018,Spain,Navarra,Bodegas Piedemonte,3.4,103,6.15,2018,red
116,Peyres Nobles Rouge 2018,France,Corbières,Château Camplong,4.0,103,6.5,2018,red
117,Lemartine Toscana 2015,Italy,Toscana,Poggio Antico,4.1,103,29.67,2015,red
118,Organic Cabernet 2018,Australia,South Australia,Farm Hand,3.7,103,7.79,2018,red
119,Pomerol 1999,France,Pomerol,Château Nénin,4.1,103,240.0,1999,red
120,Malterdinger Alte Reben Spätburgunder 2016,Germany,Baden,Bernhard Huber,4.1,103,38.69,2016,red
121,Cabernet Franc 2012,South Africa,Franschhoek,Anthonij Rupert,4.2,103,59.95,2012,red
122,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,France,Saint-Émilion Grand Cru,Château Valandraud,4.4,103,193.02,2002,red
123,Bramare Rebon Vineyard Malbec 2017,Argentina,Mendoza,Viña Cobos,4.6,103,75.07,2017,red
124,Merlot Reserva 2008,Brazil,Vale dos Vinhedos,Pizzato,3.2,103,15.9,2008,red
125,Brunello di Montalcino Pianrosso 2015,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,103,66.29,2015,red
126,François de Tournon Saint-Joseph 2016,France,Saint-Joseph,Delas,3.9,103,29.15,2016,red
127,Estibals Minervois 2018,France,Minervois,L'Ostal Cazes,3.6,103,10.99,2018,red
128,Barbera - Garnacha 2017,Chile,Maule Valley,Erasmo,3.5,103,12.62,2017,red
129,Roi des Lézards 2014,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,103,19.4,2014,red
130,One Point Five Cabernet Sauvignon 2016,United States,Stags Leap District,Shafer,4.5,1030,120.01,2016,red
131,Barbaresco 2013,Italy,Barbaresco,Gaja,4.4,1030,199.9,2013,red
132,Saint-Julien (Grand Cru Classé) 2006,France,Saint-Julien,Château Branaire-Ducru,3.9,1030,59.54,2006,red
133,Médoc 2012,France,Médoc,Château Potensac,3.8,1033,39.69,2012,red
134,Pieve Santa Restituta Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Gaja,4.3,1035,59.9,2014,red
135,Gran Maestro Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Maestro Italiano,4.1,1036,9.75,2017,red
136,Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Barton,4.2,1037,87.24,2011,red
137,Inferno (Aged in Whiskey Barrels - Limited Release) 2017,United States,California,Apothic,3.8,1037,14.56,2017,red
138,Pessac-Léognan (Grand Cru Classé de Graves) 2007,France,Pessac-Léognan,Château Pape Clément,4.3,1037,161.1,2007,red
139,Faithful Hound Red 2015,South Africa,Stellenbosch,Mulderbosch,4.0,1038,14.9,2015,red
140,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,Italy,Amarone della Valpolicella,Masi,4.3,1039,69.0,2012,red
141,Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Talenti,3.7,104,14.43,2018,red
142,Chianti 2017,Italy,Chianti,Sammontana,3.7,104,8.9,2017,red
143,Azul 2015,Spain,Ribera del Queiles,Guelbenzu,3.8,104,6.99,2015,red
144,Sanct Valentin Riserva Pinot Noir 2017,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,104,33.2,2017,red
145,Mas Collet Barrica 2009,Spain,Montsant,Capçanes,3.5,104,21.91,2009,red
146,Valpolicella Ripasso Classico Superiore 2016,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,104,16.9,2016,red
147,Toscana Poggio Ai Merli 2016,Italy,Toscana,Castellare,4.3,104,69.0,2016,red
148,Viña Aljibes Red Blend 2016,Spain,Castilla,Finca Los Aljibes,3.4,104,8.2,2016,red
149,Châteauneuf-du-Pape (La Crau) 2017,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,104,79.95,2017,red
150,Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,104,26.23,2015,red
151,Mencia 2015,Spain,Valdeorras,Viña Costeira,3.2,104,8.28,2015,red
152,Santenay Clos de Malte 2016,France,Santenay,Louis Jadot,4.1,104,32.0,2016,red
153,Sudisfà Roero Riserva 2015,Italy,Roero,Negro Angelo,4.1,104,29.9,2015,red
154,Léa Les Aspres Côtes du Roussillon Rouge 2012,France,Côtes du Roussillon,Domaine Lafage,4.0,104,19.95,2012,red
155,Alleanza 2012,Italy,Toscana,Castello di Gabbiano,4.1,104,26.95,2012,red
156,Valpolicella Ripasso Classico Superiore Solane 2015,Italy,Valpolicella Ripasso,Santi,3.7,1040,14.75,2015,red
157,Crianza 2015,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,1040,11.95,2015,red
158,Courela Tinto 2016,Portugal,Alentejano,Cortes de Cima,3.6,1040,5.65,2016,red
159,Barbera d'Alba Tre Vigne 2015,Italy,Barbera d'Alba,Vietti,3.8,1040,19.5,2015,red
160,No Name 2014,Italy,Piemonte,Borgogno,4.0,1041,34.32,2014,red
161,Rioja Bordón Reserva 2011,Spain,Rioja,Franco-Espanolas,3.8,1045,10.85,2011,red
162,Pian delle Vigne Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Antinori,4.3,1046,45.6,2014,red
163,Almiréz 2016,Spain,Toro,Teso La Monja,4.0,1046,14.95,2016,red
164,Colheita Seleccionada Rouge 2010,Portugal,Alentejano,Rapariga da Quinta,3.2,1046,11.7,2010,red
165,Ammasso Rosso Sicilia 2016,Italy,Sicilia,Barone Montalto,4.2,1047,16.34,2016,red
166,Côtes du Rhône Nature Rouge 2016,France,Côtes-du-Rhône,Famille Perrin,3.6,1049,10.45,2016,red
167,Russian River Valley Zinfandel 2015,United States,Russian River Valley,DeLoach,3.5,105,18.49,2015,red
168,Saint-Julien (Grand Cru Classé) 2016,France,Saint-Julien,Château Léoville Las Cases,4.6,105,330.45,2016,red
169,Halkidiki Limnio - Merlot 2013,Greece,Chalkidiki,Tsantali,3.2,105,12.49,2013,red
170,Pomerol 2015,France,Pomerol,Château l'Ecuyer,4.2,105,43.16,2015,red
171,Toar Valpolicella Classico Superiore 2016,Italy,Valpolicella Classico,Masi,3.7,105,15.6,2016,red
172,Arbòre Cannonau di Sardegna 2012,Italy,Cannonau di Sardegna,Gabbas,4.0,105,21.9,2012,red
173,Ángeles de Amaren Tempranillo - Graciano 2015,Spain,Rioja,Bodegas Amaren,4.2,105,15.95,2015,red
174,Barbera 2018,Italy,Piemonte,Serre dei Roveri,3.3,105,6.15,2018,red
175,Amarone della Valpolicella 2006,Italy,Amarone della Valpolicella,Zýmē,4.5,105,96.9,2006,red
176,Castillo de Jumilla Monastrell - Tempranillo 2018,Spain,Jumilla,Bleda,3.5,105,5.33,2018,red
177,Hommage Lirac 2016,France,Lirac,Domaine Coudoulis,3.9,105,19.01,2016,red
178,Poggio d'Arna Toscana 2014,Italy,Toscana,Tenuta di Sesta,3.6,105,12.9,2014,red
179,Vinya Le Havre Reserva Cabernet Sauvignon 2013,Spain,Penedès,Jean Leon,4.0,105,25.75,2013,red
180,Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,105,32.75,2014,red
181,Sor Ugo Bolgheri Superiore 2017,Italy,Bolgheri Superiore,Aia Vecchia,4.3,105,23.94,2017,red
182,Ses Nines Negre 2018,Spain,Binissalem-Mallorca,Tianna Negre,3.8,105,11.25,2018,red
183,Terrassen Zweigelt Blauer 2018,Austria,Wachau,Domäne Wachau,3.7,105,9.95,2018,red
184,Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,105,16.47,2018,red
185,Riva Ranch Pinot Noir (Reliz Creek) 2017,United States,Arroyo Seco,Wente,3.9,105,24.15,2017,red
186,Altos R Tempranillo 2017,Spain,Rioja,Altos de Rioja,3.4,105,6.9,2017,red
187,Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,Zenato,4.2,105,43.61,2016,red
188,Potenti Toscana (Suvereto) 2015,Italy,Toscana,Petra,3.9,105,39.58,2015,red
189,Trentatre 33 Rosso 2017,Italy,Salento,Rocca,3.6,105,6.95,2017,red
190,Pievasciata Rosso 2016,Italy,Toscana,Vallepicciola,4.1,105,14.9,2016,red
191,Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,1050,35.5,2013,red
192,The Barossan Shiraz 2017,Australia,Barossa Valley,Peter Lehmann,3.8,1051,16.48,2017,red
193,Nero d'Avola 2017,Italy,Terre Siciliane,Colosi,3.8,1055,8.68,2017,red
194,Bordeaux 2015,France,Bordeaux,Jean-Pierre Moueix,3.5,1056,10.21,2015,red
195,Cabernet Sauvignon 2018,United States,California,Woodbridge by Robert Mondavi,3.4,1056,8.95,2018,red
196,Tinto 2018,Portugal,Lisboa,Porta 6,3.7,1056,9.12,2018,red
197,Délicate N.V.,South Africa,Stellenbosch,De Toren,4.1,1056,14.38,N.V.,red
198,Aglianico Rubrato 2014,Italy,Irpinia,Feudi di San Gregorio,3.5,1057,10.95,2014,red
199,Gran Verano Cabernet Sauvignon 2018,Chile,Central Valley,Apaltagua,3.4,1059,6.95,2018,red
200,Grand Estates Merlot 2015,United States,Columbia Valley,Columbia Crest,3.7,1059,12.4,2015,red
201,Saint-Julien (Grand Cru Classé) 2017,France,Saint-Julien,Château Beychevelle,4.0,106,86.76,2017,red
202,Copa Santa La Méjanelle 2015,France,Languedoc,Clavel,4.0,106,17.9,2015,red
203,Cantodoro 2016,Italy,Sicilia,Feudo Arancio,3.6,106,8.5,2016,red
204,Vitiano San Lorenzo 2014,Italy,Castel San Lorenzo,Falesco,3.9,106,11.95,2014,red
205,Disueri Nero d'Avola 2018,Italy,Sicilia,Cusumano,3.6,106,7.7,2018,red
206,Kirschgarten Spatburgunder GG 2013,Germany,Pfalz,Knipser,4.2,106,39.95,2013,red
207,B 2017,Spain,Ribera del Duero,Baden Numen,3.8,106,11.21,2017,red
208,Pinot Noir 2017,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4.0,106,22.5,2017,red
209,Protocolo Tinto 2018,Spain,Castilla,Dominio de Eguren,3.7,106,5.95,2018,red
210,Rouge 2016,France,Bordeaux,Bad Boy (Mauvais Garçon),3.9,106,16.9,2016,red
211,Côte de Nuits Villages Le Vaucrain 2016,France,Côte de Nuits Villages,Louis Jadot,4.0,106,32.0,2016,red
212,Vino Nobile di Montepulciano 2016,Italy,Vino Nobile di Montepulciano,Talosa,3.9,106,17.79,2016,red
213,Yotuel Selección 2014,Spain,Ribera del Duero,Gallego Zapatero,3.6,106,15.75,2014,red
214,Lanzaga Rioja 2014,Spain,Rioja,Telmo Rodriguez,3.8,106,19.95,2014,red
215,Elysian Collection Merlot 2016,United States,California,Bonterra,3.8,106,26.7,2016,red
216,La Tiare du Pape Châteauneuf-du-Pape Rouge 2015,France,Châteauneuf-du-Pape,Maison Bouachon,3.9,106,45.0,2015,red
217,Spätburgunder Trocken 2015,Germany,Pfalz,Ökonomierat Rebholz,3.9,106,21.4,2015,red
218,El Chocolatero Cariñena 2014,Spain,Cariñena,San Valero,3.2,106,7.75,2014,red
219,Hermitage La Chapelle Rouge 2016,France,Hermitage,Paul Jaboulet Aîné,4.3,106,249.95,2016,red
220,Mas Oliveras Tempranillo 2018,Spain,Catalunya,Ramón Roqueta,3.2,106,6.5,2018,red
221,Pannobile 2015,Austria,Burgenland,Pittnauer,3.9,106,22.13,2015,red
222,Tempus 2018,Italy,Veneto,Stefano Accordini,3.8,106,10.42,2018,red
223,Le Clos des Fées (Hervé Bizeul) 2013,France,Côtes du Roussillon,Domaine du Clos des Fées,4.1,106,52.53,2013,red
224,Tío Martín Crianza 2016,Spain,Rioja,D. Mateos,3.8,106,15.69,2016,red
225,Vigna Del Mandorlo Dolcetto d'Alba 2017,Italy,Dolcetto d'Alba,Elvio Cogno,3.4,106,11.5,2017,red
226,Barolo Bussia 2015,Italy,Barolo,Prunotto,4.1,106,69.0,2015,red
227,Tinto 2015,Spain,Rioja,Gran Familia,3.5,106,5.8,2015,red
228,Finca Cuesta Clara Raro Reserva 2015,Spain,Rioja,Campillo,4.2,106,39.99,2015,red
229,Fronsac 2005,France,Fronsac,Château la Vieille Cure,4.0,106,39.95,2005,red
230,Ventoux 2016,France,Ventoux,Xavier Vignon,3.6,106,8.2,2016,red
231,Hussonet Cabernet Sauvignon Gran Reserva 2015,Chile,Maipo Valley,Haras de Pirque,3.7,1060,15.95,2015,red
232,Salice Salentino Riserva 2016,Italy,Salice Salentino,Marchese di Borgosole,3.9,1061,8.49,2016,red
233,Chianti Classico 2016,Italy,Chianti Classico,Isole e Olena,3.9,1063,20.86,2016,red
234,Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2016,Italy,Südtirol - Alto Adige,J. Hofstätter,3.6,1064,13.48,2016,red
235,Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenuta Il Poggione,4.2,1065,36.63,2014,red
236,Cabernet Sauvignon 2015,United States,Columbia Valley,Columbia Winery,3.8,1065,17.75,2015,red
237,Saint-Julien (Grand Cru Classé) 2009,France,Saint-Julien,Château Léoville Barton,4.4,1066,133.06,2009,red
238,Pessac-Léognan (Grand Cru Classé de Graves) 2005,France,Pessac-Léognan,Château Smith Haut-Lafitte,4.4,1066,169.95,2005,red
239,Cabernet Sauvignon 2013,Mexico,Valle de Guadalupe,L. A. Cetto,3.4,1066,8.65,2013,red
240,Malbec 2017,Argentina,Mendoza,Catena,4.1,10676,13.5,2017,red
241,Saint-Estèphe (Grand Cru Classé) 2009,France,Saint-Estèphe,Château Lafon-Rochet,4.2,1069,75.98,2009,red
242,Amarone della Valpolicella Classico 2014,Italy,Amarone della Valpolicella Classico,Bolla,4.1,1069,28.99,2014,red
243,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.0,107,130.97,2014,red
244,Margaux (Grand Cru Classé) 2017,France,Margaux,Château Lascombes,4.0,107,86.76,2017,red
245,Pauillac (Grand Cru Classé) 2017,France,Pauillac,Château d'Armailhac,3.9,107,52.64,2017,red
246,Figure Libre Freestyle Rouge 2018,France,Pays d'Oc,Gayda,3.7,107,11.45,2018,red
247,Pinot Noir 2018,France,Pays d'Oc,La Forge Estate,3.6,107,7.27,2018,red
248,Tinto 2018,Spain,Alicante,Vergel,3.6,107,7.35,2018,red
249,Les Coteaux Cabernet Sauvignon 2015,South Africa,Wellington,Mont du Toit,3.8,107,11.5,2015,red
250,Mayro Montepulciano d'Abruzzo 2015,Italy,Montepulciano d'Abruzzo,Fosso Corno,3.7,107,7.75,2015,red
251,Barbera d'Alba 2018,Italy,Barbera d'Alba,Comm. G.B. Burlotto,3.9,107,17.0,2018,red
252,Blauer Spätburgunder 2015,Germany,Baden,Ziereisen,3.7,107,11.31,2015,red
253,Promontory 2013,United States,Napa Valley,Promontory,4.7,107,721.34,2013,red
254,Tempranillo - Merlot 2015,Spain,Ribera del Duero,Rolland & Galarreta 'R&G',3.7,107,13.95,2015,red
255,Sankt Laurent 2017,Austria,Burgenland,Umathum,3.6,107,13.2,2017,red
256,Gigondas 2017,France,Gigondas,M. Chapoutier,3.9,107,24.8,2017,red
257,Driopi Classic Agiorgitiko Nemea 2017,Greece,Nemea,Κτημα Τσελεπου (Ktima Tselepos),3.7,107,11.5,2017,red
258,Magna Malbec 2018,Argentina,San Juan,Callia,3.5,107,8.95,2018,red
259,Nero 2010,Italy,Salento,Conti Zecca,4.0,107,25.12,2010,red
260,Salice Salentino 2017,Italy,Salice Salentino,Epicuro,3.6,107,6.25,2017,red
261,Valpolicella Superiore 2014,Italy,Valpolicella,Rocca Sveva,3.7,107,15.84,2014,red
